USA;85749;+314;1304;+9;1868;82577;2122;259
China;81340;+55;3292;+5;74588;3460;1034;57
Italy;80589;;8215;;10361;62013;3612;1333
Spain;64059;+6273;4858;+493;9357;49844;4165;1370
Germany;47278;+3340;281;+14;5673;41324;23;564
Iran;32332;+2926;2378;+144;11133;18821;2893;385
France;29155;;1696;;4948;22511;3375;447
Switzerland;11951;+140;197;+5;897;10857;203;1381
UK;11658;;578;;135;10945;163;172
S. Korea;9332;+91;139;+8;4528;4665;59;182
Netherlands;7431;;434;;3;6994;761;434
Belgium;7284;+1049;289;+69;858;6137;690;628
Austria;7269;+360;58;+9;225;6986;96;807
Canada;4043;;39;;228;3776;120;107
Turkey;3629;;75;;26;3528;136;43
Portugal;3544;;60;;43;3441;61;348
Norway;3443;+71;16;+2;6;3421;70;635
Australia;3180;+130;13;;170;2997;23;125
Israel;3035;+342;10;+2;79;2946;49;351
Brazil;2988;+3;77;;6;2905;296;14
Sweden;2858;+18;77;;16;2765;200;283
Malaysia;2161;+130;26;+3;259;1876;54;67
Czechia;2062;+137;9;;10;2043;34;193
Denmark;2010;+133;41;;1;1968;94;347
Ireland;1819;;19;;5;1795;47;368
Luxembourg;1453;;9;;6;1438;3;2321
Ecuador;1403;;34;;3;1366;58;80
Japan;1387;;47;;359;981;57;11
Chile;1306;;4;;22;1280;7;68
Romania;1292;+263;24;+1;115;1153;32;67
Pakistan;1252;+51;9;;23;1220;7;6
Poland;1244;+23;16;;7;1221;3;33
Thailand;1136;+91;5;+1;97;1034;11;16
Indonesia;1046;+153;87;+9;46;913;;4
Finland;1038;+80;5;;10;1023;24;187
Russia;1036;+196;3;;45;988;8;7
Saudi Arabia;1012;;3;;33;976;6;29
South Africa;927;;2;+2;12;913;7;16
Greece;892;;27;;42;823;53;86
Philippines;803;+96;54;+9;31;718;1;7
Iceland;802;;2;;82;718;11;2350
India;794;+67;20;;73;701;;0.6
Diamond Princess;712;;10;;597;105;15;
Singapore;683;;2;;172;509;17;117
Panama;674;;9;;2;663;20;156
Slovenia;632;+70;9;+3;10;613;14;304
Argentina;589;;12;;72;505;;13
Mexico;585;+110;8;+2;4;573;1;5
Peru;580;;9;;14;557;14;18
Estonia;575;+37;1;;11;563;7;433
Croatia;551;+56;3;;37;511;14;134
Qatar;549;;;;43;506;6;191
Hong Kong;518;+64;4;;111;403;5;69
Egypt;495;;24;;102;369;;5
Colombia;491;;6;;8;477;;10
Dominican Republic;488;;10;;3;475;;45
Bahrain;466;+8;4;;210;252;1;274
Iraq;458;+76;40;+4;122;296;;11
Serbia;457;;8;+1;15;434;21;52
Lebanon;391;+23;7;+1;23;361;3;57
New Zealand;368;;;;37;331;1;76
Algeria;367;;25;;29;313;;8
Lithuania;345;+46;5;+1;1;339;2;127
UAE;333;;2;;52;279;2;34
Armenia;329;+39;1;;18;310;6;111
Hungary;300;+39;10;;34;256;6;31
Latvia;280;+36;;;1;279;;148
Bulgaria;276;+12;3;;8;265;8;40
Morocco;275;;11;;8;256;1;7
Slovakia;269;+43;;;2;267;1;49
Taiwan;267;+15;2;;30;235;;11
Uruguay;238;;;;;238;3;69
Costa Rica;231;;2;;2;227;5;45
Bosnia and Herzegovina;230;+39;3;;5;222;1;70
Tunisia;227;+30;6;+1;2;219;10;19
Ukraine;226;+30;5;;4;217;;5
Kuwait;225;+17;;;57;168;11;53
Andorra;224;;3;;1;220;6;2899
Jordan;212;;;;2;210;;21
San Marino;208;;21;;4;183;12;6130
North Macedonia;201;;3;;3;195;1;96
Albania;186;+12;8;+2;31;147;3;65
Moldova;177;;2;+1;2;173;33;44
Vietnam;163;+10;;;20;143;3;2
Burkina Faso;152;;7;;10;135;;7
Cyprus;146;;3;;4;139;3;121
Faeroe Islands;144;+4;;;54;90;2;2947
Malta;139;+5;;;2;137;1;315
Ghana;136;+4;4;;1;131;1;4
Réunion;135;;;;1;134;;151
Oman;131;+22;;;23;108;;26
Kazakhstan;125;+12;1;;2;122;;7
Azerbaijan;122;;3;;15;104;6;12
Senegal;119;+14;;;11;108;;7
Brunei;115;+1;;;11;104;1;263
Venezuela;107;;1;;31;75;2;4
Sri Lanka;106;;;;7;99;5;5
Cambodia;99;+1;;;11;88;1;6
Ivory Coast;96;;;;3;93;;4
Afghanistan;94;;4;;2;88;;2
Belarus;94;+8;;;32;62;2;10
Palestine;91;+5;1;;17;73;;18
Cameroon;88;+13;2;+1;2;84;;3
Uzbekistan;83;+8;1;+1;5;77;8;2
Mauritius;81;;2;;;79;1;64
Martinique;81;;1;;;80;12;216
Georgia;81;+2;;;13;68;1;20
Guadeloupe;73;;1;;;72;4;182
Montenegro;70;+1;1;;;69;1;111
Honduras;68;+1;1;;;67;;7
Cuba;67;;2;;1;64;2;6
Channel Islands;66;;1;;;65;;380
Nigeria;65;;1;;3;61;;0.3
Trinidad and Tobago;65;;1;;;64;;46
Bolivia;61;;;;;61;;5
Kyrgyzstan;58;+14;;;;58;;9
Liechtenstein;56;;;;;56;;1469
Paraguay;52;+11;3;;1;48;1;7
